rep,label,t_us,ax,ay,az,gx,gy,gz,roll,pitch
0,jab,641942379.0,-7.14,-17.123,8.049,28.35,7.8,2.07,-74.29,4.21
0,jab,641947379.0,-7.599,-16.731,9.189,46.77,12.87,-2.07,-73.8,4.62
0,jab,641952379.0,-8.102,-16.424,10.429,64.21,21.22,-5.91,-73.16,5.09
0,jab,641957379.0,-8.552,-16.046,11.478,75.67,31.89,-9.94,-72.41,5.61
0,jab,641962379.0,-9.179,-15.51,12.608,81.59,43.23,-13.29,-71.58,6.2
0,jab,641967379.0,-9.831,-14.676,13.513,78.48,52.07,-12.44,-70.71,6.86
0,jab,641972379.0,-10.496,-13.522,14.188,64.39,57.5,-7.5,-69.86,7.57
0,jab,641977379.0,-11.344,-12.244,14.763,43.17,58.84,0.73,-69.04,8.32
0,jab,641982379.0,-12.388,-11.052,15.083,14.88,53.96,14.82,-68.31,9.08
0,jab,641987379.0,-13.599,-10.013,15.371,-21.28,43.84,32.62,-67.71,9.85
0,jab,641992379.0,-14.949,-9.318,15.486,-64.39,28.66,52.01,-67.29,10.58
0,jab,641997379.0,-16.242,-8.643,15.265,-112.01,8.05,70.55,-67.09,11.27
0,jab,642002379.0,-17.377,-7.743,14.911,-159.57,-14.88,86.46,-67.08,11.89
0,jab,642007379.0,-18.143,-6.785,14.638,-203.48,-35.91,96.71,-67.23,12.44
0,jab,642012379.0,-18.526,-6.076,14.246,-239.45,-52.62,98.96,-67.52,12.94
0,jab,642017379.0,-18.593,-5.468,13.585,-265.67,-60.67,92.2,-67.91,13.42
0,jab,642022379.0,-18.306,-4.841,12.752,-280.18,-59.88,76.28,-68.34,13.92
0,jab,642027379.0,-17.502,-4.142,11.463,-283.78,-51.28,52.62,-68.76,14.49
0,jab,642032379.0,-16.017,-3.601,9.625,-275.49,-32.56,17.99,-69.15,15.19
0,jab,642037379.0,-14.815,-3.668,7.91,-248.17,-5.0,-27.2,-69.48,16.05
0,jab,642042379.0,-13.384,-3.587,6.0,-199.88,30.12,-78.05,-69.68,17.13
0,jab,642047379.0,-11.779,-3.366,4.405,-138.9,67.07,-129.02,-69.72,18.41
0,jab,642052379.0,-10.324,-2.571,2.72,-77.93,99.39,-175.49,-69.57,19.93
0,jab,642057379.0,-8.806,-1.523,0.862,-21.83,127.74,-213.78,-69.5,21.73
0,jab,642062379.0,-7.063,-0.144,-0.862,26.1,149.76,-244.76,-71.39,23.69
0,jab,642067379.0,-5.44,1.298,-2.15,60.18,159.09,-266.22,-66.69,25.3
0,jab,642072379.0,-3.745,3.06,-3.189,81.77,157.5,-280.98,-62.23,26.37
0,jab,642077379.0,-1.523,4.616,-4.017,92.01,145.98,-289.88,-57.92,26.84
0,jab,642082379.0,1.034,6.053,-4.697,92.68,124.09,-294.02,-53.75,26.76
0,jab,642087379.0,3.826,7.36,-5.167,86.65,96.52,-295.61,-49.75,26.23
0,jab,642092379.0,7.312,8.691,-5.43,75.67,60.12,-298.35,-45.94,25.29
0,jab,642097379.0,10.669,9.318,-5.909,58.9,17.38,-298.11,-42.29,23.99
0,jab,642102379.0,13.781,9.658,-5.646,45.98,-32.44,-302.26,-38.81,22.34
0,jab,642107379.0,17.712,9.328,-5.176,34.51,-76.89,-309.63,-35.48,20.33
0,jab,642112379.0,22.357,9.031,-4.76,26.04,-120.3,-321.28,-32.29,18.03
0,jab,642117379.0,28.118,8.959,-3.888,17.07,-149.51,-332.01,-29.29,15.52
0,jab,642122379.0,34.52,9.558,-2.145,0.43,-163.41,-338.96,-26.65,12.92
0,jab,642127379.0,40.457,9.208,0.101,-16.83,-150.18,-351.4,-24.41,10.39
0,jab,642132379.0,44.187,7.216,1.8,-36.59,-94.09,-368.96,-22.58,8.11
0,jab,642137379.0,45.322,4.037,3.869,-66.34,-21.34,-383.17,-21.53,6.18
0,jab,642142379.0,42.823,-1.025,2.04,-125.61,41.4,-382.56,-22.25,4.52
0,jab,642147379.0,37.163,-4.927,0.397,-195.06,114.27,-355.3,-24.47,3.34
0,jab,642152379.0,32.149,-7.891,-3.558,-261.46,141.22,-319.09,-27.55,2.47
0,jab,642157379.0,27.356,-9.989,-8.653,-322.13,154.76,-261.34,-31.19,1.89
0,jab,642162379.0,22.783,-10.625,-12.005,-379.39,159.39,-188.78,-35.2,1.54
0,jab,642167379.0,19.992,-14.384,-17.248,-424.88,152.07,-116.34,-39.38,1.42
0,jab,642172379.0,18.11,-19.963,-23.348,-466.65,171.04,-51.59,-43.67,1.62
0,jab,642177379.0,13.628,-24.9,-28.888,-511.95,170.43,-0.91,-48.09,2.03
0,jab,642182379.0,9.601,-27.806,-31.441,-514.63,129.88,41.04,-52.42,2.37
0,jab,642187379.0,5.55,-27.457,-30.416,-443.6,37.13,79.15,-56.3,2.35
0,jab,642192379.0,1.58,-24.517,-26.183,-300.24,-77.32,106.46,-59.38,1.87
0,jab,642197379.0,0.723,-21.299,-20.672,-98.54,-146.95,122.26,-61.36,1.09
0,jab,642202379.0,3.05,-16.999,-15.739,100.43,-165.79,113.96,-62.3,0.1
0,jab,642207379.0,7.312,-12.009,-11.712,260.73,-143.41,81.65,-62.46,-1.07
0,jab,642212379.0,11.746,-6.852,-7.336,369.45,-79.15,35.24,-62.14,-2.43
0,jab,642217379.0,13.728,-2.725,-4.721,428.17,-28.6,-12.62,-61.8,-3.89
0,jab,642222379.0,16.577,-1.077,-3.462,440.06,16.65,-46.83,-61.66,-5.28
0,jab,642227379.0,17.075,-0.091,-2.404,398.11,46.04,-42.5,-62.03,-6.59
0,jab,642232379.0,16.606,-0.057,-1.963,332.8,52.13,-5.98,-62.73,-7.87
0,jab,642237379.0,16.726,-0.613,-2.241,265.55,46.59,44.63,-63.47,-9.12
0,jab,642242379.0,16.199,-0.479,-1.537,206.83,37.38,99.88,-64.44,-10.45
0,jab,642247379.0,15.859,-0.283,-0.804,160.0,19.7,149.94,-65.58,-11.88
0,jab,642252379.0,15.668,0.211,-0.867,122.68,-3.72,190.24,-60.34,-13.39
0,jab,642257379.0,15.28,1.02,-1.346,94.7,-21.83,216.16,-55.81,-14.91
0,jab,642262379.0,14.557,1.805,-1.719,72.99,-30.18,226.46,-51.67,-16.36
0,jab,642267379.0,13.494,2.696,-2.217,54.57,-30.3,226.04,-47.78,-17.69
0,jab,642272379.0,12.321,2.945,-2.959,42.93,-21.65,219.02,-43.91,-18.87
0,jab,642277379.0,11.114,2.562,-3.577,41.1,-8.23,207.99,-39.94,-19.9
0,jab,642282379.0,10.123,1.714,-4.228,48.23,5.37,192.74,-35.75,-20.79
0,jab,642287379.0,9.203,0.713,-4.487,65.98,18.96,174.45,-31.29,-21.56
0,jab,642292379.0,8.351,-0.014,-4.295,94.33,28.11,155.12,-33.8,-22.25
0,jab,642297379.0,7.518,-0.555,-3.974,130.43,31.65,131.89,-35.92,-22.88
0,jab,642302379.0,6.78,-0.972,-3.663,166.89,34.76,106.4,-37.69,-23.47
0,jab,642307379.0,6.297,-1.12,-3.27,197.32,38.78,83.29,-39.19,-24.04
0,jab,642312379.0,6.22,-1.039,-2.638,216.52,42.13,65.79,-40.52,-24.66
0,jab,642317379.0,6.22,-0.785,-1.858,222.56,41.28,54.15,-41.76,-25.4
0,jab,642322379.0,6.402,-0.579,-1.288,217.56,33.84,45.06,-42.97,-26.28
0,jab,642327379.0,6.244,-0.254,-0.45,203.48,22.01,42.01,-44.13,-27.35
0,jab,642332379.0,5.818,-0.034,0.464,183.17,5.79,46.4,-42.43,-28.49
0,jab,642337379.0,5.741,-0.019,1.063,154.63,-13.41,52.44,-40.84,-29.57
0,jab,642342379.0,5.516,-0.115,1.647,119.51,-29.82,59.02,-39.52,-30.59
0,jab,642347379.0,5.286,-0.359,2.236,87.74,-48.48,67.8,-38.48,-31.56
0,jab,642352379.0,4.961,-0.91,2.792,55.73,-64.27,77.13,-37.8,-32.43
0,jab,642357379.0,4.554,-1.595,3.448,29.63,-71.71,84.7,-37.4,-33.13
0,jab,642362379.0,3.807,-2.456,3.84,10.3,-75.0,91.77,-37.25,-33.64
0,jab,642367379.0,3.165,-3.357,4.027,-3.6,-72.32,95.37,-37.32,-33.94
0,jab,642372379.0,2.892,-4.338,4.195,-9.82,-60.91,94.63,-37.54,-34.07
0,jab,642377379.0,2.413,-5.353,4.444,-6.83,-48.05,90.3,-37.83,-34.01
0,jab,642382379.0,1.882,-6.292,4.381,1.1,-36.22,82.26,-38.17,-33.78
0,jab,642387379.0,1.197,-7.197,4.764,13.29,-20.79,73.11,-38.47,-33.37
0,jab,642392379.0,0.618,-7.843,5.1,30.85,-8.72,63.9,-38.69,-32.82
0,jab,642397379.0,0.172,-8.308,5.329,44.27,6.04,54.57,-38.85,-32.15
0,jab,642402379.0,-0.081,-8.361,5.325,56.89,22.26,47.32,-38.94,-31.39
0,jab,642407379.0,-0.105,-8.14,5.301,60.0,31.22,44.39,-39.01,-30.6
0,jab,642412379.0,-0.402,-8.112,5.741,57.26,32.38,45.3,-39.04,-29.78
0,jab,642417379.0,-1.207,-8.217,6.263,46.1,25.98,49.51,-39.09,-28.92
0,jab,642422379.0,-2.212,-8.337,6.704,28.96,15.85,54.51,-39.19,-28.03
0,jab,642427379.0,-2.854,-8.705,7.163,6.89,8.35,57.68,-39.38,-27.15
0,jab,642432379.0,-3.649,-8.993,7.647,-14.94,-2.99,62.5,-39.66,-26.28
0,jab,642437379.0,-4.492,-9.309,7.815,-35.49,-12.93,68.66,-40.04,-25.41
0,jab,642442379.0,-5.219,-9.821,7.949,-52.32,-18.9,74.82,-40.51,-24.54
0,jab,642447379.0,-5.808,-10.372,8.006,-63.35,-20.98,78.66,-41.06,-23.68
0,jab,642452379.0,-6.076,-10.913,8.054,-68.9,-17.13,78.72,-41.65,-22.8
0,jab,642457379.0,-6.23,-11.123,8.112,-69.76,-11.77,75.73,-42.24,-21.92
0,jab,642462379.0,-6.407,-10.956,8.054,-64.33,-7.44,70.61,-42.78,-21.01
0,jab,642467379.0,-6.46,-10.846,8.068,-55.73,-1.71,63.11,-43.26,-20.09
0,jab,642472379.0,-6.282,-10.625,7.954,-48.35,3.41,52.38,-43.7,-19.16
0,jab,642477379.0,-5.751,-10.573,7.614,-44.76,8.35,40.3,-44.13,-18.26
0,jab,642482379.0,-5.138,-10.774,7.369,-46.4,13.35,31.52,-44.59,-17.4
0,jab,642487379.0,-4.927,-11.272,7.202,-51.71,15.18,28.11,-45.1,-16.58
0,jab,642492379.0,-4.879,-11.866,7.096,-58.11,14.27,27.62,-45.66,-15.79
0,jab,642497379.0,-5.095,-12.412,7.116,-64.33,12.93,30.85,-46.27,-15.02
0,jab,642502379.0,-5.282,-12.919,7.044,-69.76,10.79,36.28,-46.91,-14.27
0,jab,642507379.0,-5.176,-13.278,6.766,-73.35,10.79,40.0,-47.59,-13.55
0,jab,642512379.0,-5.234,-13.762,6.608,-75.85,11.4,42.5,-48.3,-12.84
0,jab,642517379.0,-5.612,-13.982,6.584,-76.16,12.8,43.78,-49.0,-12.12
0,jab,642522379.0,-6.12,-14.102,6.249,-73.6,19.15,45.79,-49.71,-11.35
0,jab,642527379.0,-6.512,-14.236,6.287,-62.44,21.28,45.85,-50.34,-10.57
0,jab,642532379.0,-6.402,-14.064,5.818,-55.24,20.73,39.82,-50.96,-9.8
0,jab,642537379.0,-5.54,-13.522,5.44,-45.98,20.24,27.01,-51.52,-9.09
1,jab,646297379.0,-0.685,-9.615,2.543,-3.48,-0.24,1.16,-76.1,3.0
1,jab,646302379.0,-0.704,-9.663,2.437,-3.29,-0.43,-0.3,-76.11,3.02
1,jab,646307379.0,-0.656,-9.682,2.461,-3.05,-0.24,-2.32,-76.12,3.03
1,jab,646312379.0,-0.852,-9.749,2.284,-2.26,-0.55,-3.96,-76.14,3.06
1,jab,646317379.0,-0.699,-9.72,2.303,-0.37,-0.49,-6.65,-76.16,3.08
1,jab,646322379.0,-0.536,-9.735,2.337,-0.49,-0.43,-8.35,-76.17,3.08
1,jab,646327379.0,-0.455,-9.625,2.409,-0.98,0.18,-8.96,-76.17,3.07
1,jab,646332379.0,-0.407,-9.577,2.437,-0.73,0.67,-9.39,-76.16,3.06
1,jab,646337379.0,-0.426,-9.663,2.452,-0.18,1.89,-10.06,-76.15,3.06
1,jab,646342379.0,-0.45,-9.759,2.49,-0.3,3.6,-10.12,-76.15,3.06
1,jab,646347379.0,-0.46,-9.84,2.504,-1.52,4.76,-9.51,-76.14,3.08
1,jab,646352379.0,-0.469,-9.941,2.547,-2.44,5.61,-8.48,-76.15,3.1
1,jab,646357379.0,-0.618,-9.974,2.543,-3.35,5.85,-7.38,-76.15,3.13
1,jab,646362379.0,-0.709,-9.969,2.591,-3.41,5.73,-6.4,-76.16,3.18
1,jab,646367379.0,-0.852,-9.998,2.634,-3.72,5.61,-5.18,-76.16,3.23
1,jab,646372379.0,-1.006,-10.065,2.686,-4.39,5.55,-3.84,-76.16,3.31
1,jab,646377379.0,-1.197,-10.022,2.811,-5.24,5.73,-3.66,-76.15,3.4
1,jab,646382379.0,-1.389,-10.046,3.017,-5.98,7.07,-3.35,-76.12,3.52
1,jab,646387379.0,-1.59,-10.046,3.218,-6.65,10.0,-2.99,-76.07,3.67
1,jab,646392379.0,-1.82,-10.204,3.275,-7.44,12.87,-2.56,-76.03,3.85
1,jab,646397379.0,-2.131,-10.405,3.443,-9.21,14.82,-2.62,-75.99,4.07
1,jab,646402379.0,-2.523,-10.63,3.615,-11.28,16.28,-2.62,-75.95,4.32
1,jab,646407379.0,-2.993,-10.951,3.768,-12.74,18.48,-1.4,-75.91,4.61
1,jab,646412379.0,-3.524,-11.339,3.816,-14.15,20.37,0.24,-75.89,4.95
1,jab,646417379.0,-4.118,-11.665,3.922,-14.51,20.73,2.01,-75.87,5.32
1,jab,646422379.0,-4.927,-12.148,4.123,-12.99,20.55,2.38,-75.84,5.73
1,jab,646427379.0,-5.823,-12.632,4.324,-8.17,20.91,-0.43,-75.79,6.19
1,jab,646432379.0,-6.297,-13.091,4.573,-3.05,22.26,-4.57,-75.7,6.67
1,jab,646437379.0,-6.685,-13.369,5.018,0.24,22.68,-7.13,-75.58,7.15
1,jab,646442379.0,-6.847,-13.422,5.483,3.05,22.07,-9.57,-75.41,7.62
1,jab,646447379.0,-7.13,-13.542,5.947,6.46,21.83,-12.32,-75.19,8.09
1,jab,646452379.0,-7.465,-13.843,6.507,11.71,21.04,-16.34,-74.93,8.55
1,jab,646457379.0,-7.963,-14.121,7.283,16.28,19.57,-21.22,-74.6,9.01
1,jab,646462379.0,-8.59,-14.279,7.805,20.06,17.01,-24.21,-74.24,9.47
1,jab,646467379.0,-9.117,-14.14,8.471,20.43,14.09,-27.68,-73.84,9.92
1,jab,646472379.0,-9.27,-13.795,9.131,18.17,10.06,-29.57,-73.4,10.36
1,jab,646477379.0,-9.333,-13.537,9.615,16.16,7.8,-28.9,-72.95,10.78
1,jab,646482379.0,-9.213,-13.302,10.032,11.04,6.52,-29.63,-72.49,11.17
1,jab,646487379.0,-9.179,-13.182,10.4,4.51,5.49,-30.12,-72.06,11.55
1,jab,646492379.0,-9.299,-13.24,10.63,-2.56,6.04,-27.62,-71.65,11.92
1,jab,646497379.0,-9.294,-13.197,10.63,-8.9,8.11,-24.02,-71.29,12.3
1,jab,646502379.0,-9.074,-12.914,10.554,-13.35,10.79,-20.49,-70.94,12.68
1,jab,646507379.0,-8.978,-12.541,10.41,-16.28,14.45,-17.13,-70.61,13.07
1,jab,646512379.0,-9.017,-12.287,10.175,-17.99,19.51,-13.23,-70.29,13.49
1,jab,646517379.0,-9.103,-12.019,9.835,-19.39,26.16,-9.82,-69.99,13.96
1,jab,646522379.0,-9.127,-11.511,9.294,-21.65,32.38,-8.6,-69.72,14.47
1,jab,646527379.0,-9.342,-10.788,8.772,-19.88,36.1,-6.95,-69.44,15.04
1,jab,646532379.0,-9.471,-10.444,8.174,-15.61,40.12,-8.78,-69.17,15.64
1,jab,646537379.0,-9.902,-9.553,7.992,-14.15,41.34,-14.33,-68.86,16.3
1,jab,646542379.0,-10.108,-9.002,7.705,-12.8,43.96,-17.74,-68.53,17.0
1,jab,646547379.0,-10.151,-8.432,7.312,-12.44,46.95,-22.5,-68.2,17.74
