rep,label,t_us,ax,ay,az,gx,gy,gz,roll,pitch
0,jab,195053075.0,0.053,11.985,-5.526,3.84,-16.22,8.17,119.73,-14.09
0,jab,195058075.0,-0.622,13.039,-5.65,2.74,-20.12,7.68,119.62,-13.86
0,jab,195063075.0,-1.566,14.155,-5.784,1.4,-24.27,7.2,119.47,-13.59
0,jab,195068075.0,-2.71,15.069,-5.899,0.24,-28.35,7.13,119.31,-13.26
0,jab,195073075.0,-4.276,15.864,-5.665,-0.06,-30.85,8.78,119.12,-12.86
0,jab,195078075.0,-6.349,16.534,-4.994,1.59,-31.1,13.17,118.88,-12.36
0,jab,195083075.0,-8.863,17.473,-4.204,6.1,-29.57,21.65,118.6,-11.73
0,jab,195088075.0,-11.564,18.617,-3.347,12.68,-26.46,31.83,118.3,-10.99
0,jab,195093075.0,-14.447,19.901,-2.049,21.65,-22.68,40.61,117.96,-10.17
0,jab,195098075.0,-17.511,21.471,-0.661,34.94,-18.96,48.05,117.6,-9.27
0,jab,195103075.0,-21.639,23.88,0.958,56.4,-11.71,55.37,117.28,-8.3
0,jab,195108075.0,-24.852,26.092,2.112,71.52,-7.99,60.24,116.99,-7.31
0,jab,195113075.0,-28.558,29.319,2.605,92.13,-8.96,70.61,116.8,-6.32
0,jab,195118075.0,-31.68,32.197,2.619,101.83,-13.9,77.32,116.67,-5.37
0,jab,195123075.0,-32.791,33.351,1.226,94.27,-27.74,72.07,116.56,-4.51
0,jab,195128075.0,-33.184,32.973,0.69,78.23,-44.88,57.93,116.39,-3.74
0,jab,195133075.0,-33.117,31.714,-0.369,58.6,-75.67,40.91,116.16,-3.11
0,jab,195138075.0,-32.666,30.78,-2.15,43.05,-114.51,33.11,115.93,-2.68
0,jab,195143075.0,-31.211,30.44,-4.276,31.22,-162.8,38.84,115.72,-2.51
0,jab,195148075.0,-28.85,30.066,-4.899,26.77,-196.46,50.98,115.52,-2.56
0,jab,195153076.0,-25.446,29.243,-4.788,26.46,-221.65,65.79,115.33,-2.78
0,jab,195158076.0,-21.691,27.758,-4.075,30.24,-240.06,81.4,115.14,-3.14
0,jab,195163076.0,-18.086,25.91,-3.069,38.35,-251.04,100.49,114.96,-3.62
0,jab,195168076.0,-14.715,24.023,-2.049,51.71,-253.11,124.02,114.81,-4.16
0,jab,195173076.0,-11.296,22.41,-0.905,69.57,-244.39,152.13,114.7,-4.74
0,jab,195178076.0,-7.752,20.877,-0.062,90.98,-223.54,182.87,114.66,-5.33
0,jab,195183076.0,-4.554,19.709,0.575,112.32,-191.65,215.43,114.68,-5.9
0,jab,195188076.0,-1.743,18.206,1.077,131.89,-148.23,250.85,114.77,-6.4
0,jab,195193076.0,0.292,16.285,1.312,149.82,-97.56,288.11,114.91,-6.77
0,jab,195198076.0,1.513,14.064,0.56,165.49,-51.59,325.37,115.18,-7.01
0,jab,195203076.0,1.939,11.511,-0.814,178.11,-13.41,361.83,115.63,-7.13
