rep,label,t_us,ax,ay,az,gx,gy,gz,roll,pitch
0,uppercut,436905021.0,6.761,1.053,-6.512,2.68,12.01,8.23,168.71,-44.58
0,uppercut,436910021.0,6.689,1.053,-6.493,3.35,12.62,8.6,168.77,-44.54
0,uppercut,436915021.0,6.608,1.101,-6.474,4.27,13.05,9.09,168.82,-44.49
0,uppercut,436920021.0,6.584,1.106,-6.421,5.0,13.48,9.39,168.88,-44.44
0,uppercut,436925021.0,6.546,1.12,-6.354,5.55,13.84,9.63,168.93,-44.39
0,uppercut,436930021.0,6.589,1.164,-6.321,6.28,14.51,10.0,168.97,-44.34
0,uppercut,436935021.0,6.565,1.14,-6.225,7.01,15.37,10.67,169.02,-44.3
0,uppercut,436940021.0,6.536,1.211,-6.187,7.8,16.46,11.28,169.05,-44.26
0,uppercut,436945021.0,6.541,1.221,-6.1,8.54,17.74,12.2,169.09,-44.21
0,uppercut,436950021.0,6.512,1.25,-6.038,9.33,19.51,13.35,169.12,-44.16
0,uppercut,436955021.0,6.479,1.298,-5.899,10.37,21.71,14.7,169.14,-44.11
0,uppercut,436960021.0,6.412,1.312,-5.837,11.34,24.63,16.65,169.16,-44.05
0,uppercut,436965021.0,6.316,1.302,-5.66,12.44,28.11,18.84,169.18,-43.98
0,uppercut,436970021.0,6.258,1.322,-5.488,13.41,32.8,21.52,169.19,-43.9
0,uppercut,436975021.0,6.235,1.36,-5.358,14.51,38.41,24.15,169.19,-43.8
0,uppercut,436980021.0,6.177,1.441,-5.109,15.67,44.51,26.59,169.17,-43.69
0,uppercut,436985021.0,6.158,1.561,-4.889,17.13,51.77,29.27,169.11,-43.57
0,uppercut,436990021.0,6.282,1.7,-4.501,18.84,59.76,31.95,169.01,-43.46
0,uppercut,436995021.0,6.469,2.002,-4.367,20.79,69.51,34.76,168.84,-43.32
0,uppercut,437000021.0,6.699,2.423,-4.209,23.11,82.74,37.74,168.58,-43.12
0,uppercut,437005021.0,6.732,3.055,-4.085,26.22,97.32,41.1,168.2,-42.84
0,uppercut,437010021.0,6.584,3.941,-4.219,28.35,112.74,45.37,167.71,-42.41
0,uppercut,437015021.0,6.244,5.095,-4.688,28.54,130.18,50.85,167.15,-41.76
0,uppercut,437020021.0,5.904,6.603,-5.262,28.17,150.61,56.95,166.52,-40.89
0,uppercut,437025021.0,5.65,8.37,-5.918,27.2,177.5,63.11,165.82,-39.78
0,uppercut,437030021.0,5.655,10.669,-6.732,24.45,207.93,68.05,165.07,-38.45
0,uppercut,437035021.0,6.163,13.977,-8.442,18.84,244.09,70.91,164.29,-36.9
0,uppercut,437040021.0,7.853,17.98,-10.247,9.09,294.94,70.85,163.44,-35.13
0,uppercut,437045021.0,10.946,22.558,-10.822,-1.16,366.71,61.16,162.48,-33.1
0,uppercut,437050021.0,14.801,27.912,-9.567,-11.52,453.29,39.76,161.35,-30.75
0,uppercut,437055021.0,19.355,34.132,-7.14,-20.37,553.05,21.59,160.06,-28.01
0,uppercut,437060021.0,24.258,40.132,-4.247,-29.82,663.35,17.87,158.63,-24.82
0,uppercut,437065021.0,29.272,44.599,-2.03,-46.04,775.12,28.66,157.09,-21.19
0,uppercut,437070022.0,33.571,45.997,1.523,-65.49,877.56,38.72,155.39,-17.18
0,uppercut,437075022.0,39.308,43.594,6.158,-81.4,955.91,27.93,153.52,-12.99
0,uppercut,437080022.0,46.606,39.935,12.076,-89.94,993.96,-24.39,151.47,-8.83
