rep,label,t_us,ax,ay,az,gx,gy,gz,roll,pitch
0,hook,1410092954.0,-3.922,-7.556,9.476,-27.07,85.61,-43.6,-62.46,17.63
0,hook,1410097954.0,-4.496,-7.479,9.443,-38.17,91.16,-40.98,-62.16,18.14
0,hook,1410102954.0,-5.057,-7.561,9.285,-51.52,97.44,-37.5,-61.95,18.71
0,hook,1410107954.0,-5.066,-7.57,9.136,-62.01,115.85,-36.1,-61.81,19.37
0,hook,1410112954.0,-6.1,-7.714,9.165,-73.35,129.88,-34.88,-61.74,20.15
0,hook,1410117954.0,-7.259,-7.987,9.227,-85.98,131.83,-32.2,-61.74,21.01
0,hook,1410122954.0,-7.757,-8.418,9.462,-97.93,134.02,-27.5,-61.82,21.88
0,hook,1410127954.0,-8.193,-9.141,9.668,-106.71,134.88,-24.39,-61.97,22.73
0,hook,1410132954.0,-8.504,-9.816,9.534,-115.12,135.98,-19.33,-62.21,23.58
0,hook,1410137954.0,-8.897,-10.262,9.476,-122.32,138.84,-13.17,-62.52,24.44
0,hook,1410142954.0,-9.084,-10.587,9.409,-128.78,142.01,-6.52,-62.86,25.3
0,hook,1410147954.0,-9.505,-10.697,9.194,-134.76,145.43,-0.06,-63.25,26.19
0,hook,1410152954.0,-9.946,-10.53,8.983,-141.52,144.82,8.41,-63.67,27.09
0,hook,1410157954.0,-10.554,-10.324,9.179,-148.84,148.78,16.65,-64.1,28.02
0,hook,1410162954.0,-11.42,-10.036,8.959,-157.56,143.05,23.6,-64.55,28.97
0,hook,1410167954.0,-12.028,-9.764,8.485,-165.85,137.99,30.73,-65.05,29.93
0,hook,1410172954.0,-12.407,-9.634,7.872,-168.54,131.77,35.49,-65.59,30.87
0,hook,1410177954.0,-13.388,-9.73,7.719,-166.4,115.0,37.8,-66.13,31.76
0,hook,1410182954.0,-14.542,-9.883,7.269,-160.55,102.44,39.33,-66.66,32.62
0,hook,1410187954.0,-14.911,-10.218,6.488,-143.41,91.89,36.46,-67.19,33.44
0,hook,1410192954.0,-14.71,-10.994,5.416,-112.68,79.51,28.84,-67.67,34.16
0,hook,1410197954.0,-14.427,-12.68,4.468,-77.44,73.41,23.17,-68.11,34.78
0,hook,1410202954.0,-14.499,-13.652,3.472,-36.83,62.44,15.18,-68.44,35.31
0,hook,1410207954.0,-15.309,-13.896,2.71,5.55,52.44,5.12,-68.62,35.8
0,hook,1410212954.0,-15.433,-14.087,2.035,41.04,47.32,-5.12,-68.69,36.27
0,hook,1410217954.0,-15.452,-13.858,1.705,65.67,41.04,-9.82,-68.65,36.7
0,hook,1410222954.0,-13.599,-13.393,0.68,77.5,42.13,-14.88,-68.64,37.08
0,hook,1410227954.0,-12.871,-12.766,0.373,76.34,49.51,-13.05,-68.66,37.49
0,hook,1410232954.0,-11.722,-11.789,-0.766,55.55,58.78,2.32,-68.89,37.92
0,hook,1410237954.0,-14.03,-9.495,-0.532,19.45,45.61,11.46,-69.28,38.5
0,hook,1410242954.0,-13.628,-7.403,-2.203,-32.07,25.43,20.37,-70.18,39.07
0,hook,1410247954.0,-13.642,-5.435,-4.338,-89.63,2.8,25.98,-71.79,39.56
0,hook,1410252954.0,-12.632,-4.966,-7.393,-143.17,-17.62,29.27,-73.98,39.78
0,hook,1410257954.0,-13.709,-3.812,-10.913,-208.48,-25.98,39.02,-76.73,39.85
0,hook,1410262954.0,-11.837,-5.152,-12.45,-266.22,-30.91,42.5,-79.65,39.73
0,hook,1410267954.0,-13.633,-9.361,-13.288,-259.33,-51.52,16.34,-82.23,39.48
0,hook,1410272954.0,-14.169,-10.582,-16.994,-203.78,-74.15,-7.8,-84.54,39.03
0,hook,1410277954.0,-9.955,-13.25,-19.565,-144.7,-75.73,-22.8,-86.48,38.34
0,hook,1410282954.0,-8.375,-15.749,-19.68,-99.09,-62.8,-35.85,-88.06,37.63
0,hook,1410287954.0,-4.812,-20.566,-16.735,-49.63,-51.95,-32.38,-89.13,36.83
0,hook,1410292954.0,-5.507,-16.86,-17.157,-27.32,-38.35,-70.98,-90.19,36.16
0,hook,1410297954.0,-6.78,-16.3,-15.38,3.72,-53.05,-81.83,-91.03,35.52
0,hook,1410302954.0,-5.784,-16.458,-15.342,28.78,-60.55,-100.55,-91.73,34.8
0,hook,1410307954.0,-5.066,-16.577,-15.443,47.13,-69.51,-118.05,-92.33,34.01
0,hook,1410312954.0,-4.386,-14.892,-15.553,65.91,-54.21,-129.09,-92.88,33.3
0,hook,1410317954.0,-4.697,-14.509,-14.83,79.51,-53.66,-134.82,-93.35,32.63
0,hook,1410322954.0,-5.646,-13.015,-14.667,86.1,-75.67,-138.96,-93.83,31.92
0,hook,1410327954.0,-6.254,-11.349,-15.265,100.79,-79.88,-144.33,-94.32,31.26
0,hook,1410332954.0,-6.235,-10.98,-15.735,116.59,-72.32,-141.95,-94.77,30.64
0,hook,1410337954.0,-6.709,-9.783,-15.787,126.77,-74.27,-135.49,-95.21,30.06
0,hook,1410342954.0,-6.665,-8.226,-15.759,134.51,-82.93,-131.16,-95.7,29.46
0,hook,1410347954.0,-6.244,-7.547,-15.682,148.17,-92.56,-134.15,-96.15,28.81
0,hook,1410352954.0,-5.277,-7.714,-15.874,160.55,-100.49,-140.12,-96.52,28.08
0,hook,1410357954.0,-3.95,-8.222,-15.845,172.8,-113.17,-150.79,-96.79,27.21
0,hook,1410362954.0,-2.667,-9.069,-15.601,186.28,-123.05,-163.84,-96.94,26.23
0,hook,1410367954.0,-2.504,-9.62,-15.213,203.84,-122.44,-173.9,-96.96,25.27
0,hook,1410372954.0,-1.489,-10.937,-15.428,234.27,-126.77,-186.52,-96.76,24.23
0,hook,1410377954.0,-0.388,-11.904,-15.649,260.18,-127.32,-198.96,-96.41,23.14
0,hook,1410382954.0,0.35,-12.814,-15.069,287.5,-121.46,-207.5,-95.86,22.07
0,hook,1410387954.0,1.111,-13.657,-14.533,311.95,-113.17,-209.88,-95.15,21.01
0,hook,1410392954.0,1.666,-13.106,-13.537,331.95,-104.51,-207.44,-94.34,19.97
0,hook,1410397954.0,1.844,-11.574,-12.637,347.8,-116.22,-204.15,-93.5,18.88
0,hook,1410402954.0,2.078,-9.711,-12.412,358.72,-125.12,-200.18,-92.71,17.74
0,hook,1410407954.0,2.049,-8.327,-11.65,367.68,-129.02,-192.68,-91.95,16.59
0,hook,1410412954.0,2.116,-6.627,-11.2,368.05,-133.35,-183.35,-91.29,15.42
0,hook,1410417954.0,2.447,-4.726,-10.937,363.41,-137.01,-173.35,-90.82,14.21
0,hook,1410422954.0,2.82,-3.036,-10.846,353.9,-140.91,-161.34,-90.55,12.95
0,hook,1410427954.0,3.299,-2.093,-10.487,343.48,-145.91,-148.9,-90.43,11.64
0,hook,1410432954.0,3.859,-1.69,-9.845,330.98,-150.55,-136.71,-90.41,10.24
0,hook,1410437954.0,4.559,-1.844,-9.16,317.93,-157.26,-126.34,-90.41,8.75
0,hook,1410442954.0,5.071,-2.413,-8.59,303.9,-160.67,-117.13,-90.4,7.19
0,hook,1410447954.0,5.454,-3.452,-8.14,292.87,-164.45,-110.12,-90.3,5.61
0,hook,1410452954.0,5.804,-4.894,-7.518,283.96,-165.43,-103.35,-90.04,4.03
0,hook,1410457954.0,6.325,-6.1,-6.704,275.43,-164.51,-96.71,-89.65,2.44
0,hook,1410462954.0,6.627,-6.483,-6.029,265.85,-161.95,-87.38,-89.21,0.87
0,hook,1410467954.0,6.699,-6.565,-5.076,260.49,-157.93,-75.37,-88.7,-0.7
0,hook,1410472954.0,6.862,-6.196,-4.147,256.16,-152.2,-59.88,-88.15,-2.29
0,hook,1410477954.0,6.914,-5.114,-3.227,250.37,-150.3,-44.57,-87.6,-3.96
0,hook,1410482954.0,6.919,-3.548,-2.394,238.48,-147.87,-27.32,-87.16,-5.77
0,hook,1410487954.0,6.828,-2.03,-1.528,225.18,-145.73,-9.51,-86.86,-7.76
0,hook,1410492954.0,7.14,-1.633,-0.096,210.3,-147.74,7.01,-85.96,-9.87
