rep,label,t_us,ax,ay,az,gx,gy,gz,roll,pitch
0,idle,680326849.0,6.163,7.451,-2.456,-2.2,-2.01,-0.06,106.15,-40.85
0,idle,680331849.0,6.124,7.441,-2.442,-2.2,-2.01,0.06,106.18,-40.8
0,idle,680336849.0,6.105,7.479,-2.461,-2.26,-1.95,-0.06,106.21,-40.75
0,idle,680341849.0,6.091,7.484,-2.409,-2.2,-2.26,-0.12,106.23,-40.7
0,idle,680346849.0,6.12,7.503,-2.433,-2.32,-2.38,-0.18,106.26,-40.65
0,idle,680351849.0,6.129,7.499,-2.342,-2.07,-2.5,-0.24,106.27,-40.61
0,idle,680356849.0,6.182,7.518,-2.313,-2.01,-2.56,-0.43,106.27,-40.58
0,idle,680361849.0,6.139,7.537,-2.342,-1.95,-3.05,-0.12,106.28,-40.54
0,idle,680366849.0,6.167,7.532,-2.332,-2.01,-2.99,0.24,106.29,-40.5
0,idle,680371849.0,6.191,7.537,-2.27,-2.32,-2.8,0.61,106.29,-40.47
0,idle,680376849.0,6.22,7.547,-2.246,-2.26,-2.74,0.91,106.29,-40.44
0,idle,680381849.0,6.225,7.532,-2.212,-2.44,-2.74,0.91,106.28,-40.41
0,idle,680386849.0,6.187,7.518,-2.227,-2.56,-2.93,1.1,106.27,-40.38
0,idle,680391849.0,6.182,7.499,-2.241,-2.62,-2.87,1.28,106.26,-40.36
0,idle,680396849.0,6.177,7.508,-2.227,-2.74,-2.5,1.71,106.25,-40.33
0,idle,680401849.0,6.22,7.547,-2.207,-2.8,-2.38,2.01,106.24,-40.3
0,idle,680406849.0,6.287,7.537,-2.294,-2.99,-2.2,2.26,106.24,-40.28
0,idle,680411849.0,6.345,7.527,-2.217,-3.11,-1.89,2.13,106.23,-40.26
0,idle,680416849.0,6.316,7.518,-2.203,-3.23,-1.52,2.44,106.21,-40.24
0,idle,680421849.0,6.359,7.508,-2.217,-3.17,-0.91,2.68,106.2,-40.22
0,idle,680426849.0,6.397,7.513,-2.251,-3.17,-0.43,2.99,106.2,-40.2
0,idle,680431849.0,6.431,7.508,-2.217,-3.17,0.37,3.17,106.19,-40.18
0,idle,680436849.0,6.421,7.503,-2.227,-2.99,0.73,3.29,106.18,-40.16
0,idle,680441849.0,6.431,7.484,-2.246,-2.93,1.1,3.29,106.18,-40.14
0,idle,680446849.0,6.407,7.494,-2.231,-2.56,1.46,3.05,106.17,-40.12
0,idle,680451849.0,6.416,7.499,-2.236,-2.56,1.59,3.17,106.17,-40.1
0,idle,680456849.0,6.421,7.537,-2.265,-2.38,1.59,3.23,106.17,-40.07
0,idle,680461849.0,6.436,7.551,-2.246,-2.2,1.59,3.11,106.16,-40.05
0,idle,680466849.0,6.44,7.556,-2.289,-1.89,1.46,3.11,106.17,-40.02
0,idle,680471849.0,6.436,7.566,-2.284,-1.71,1.4,2.8,106.17,-40.0
0,idle,680476849.0,6.445,7.575,-2.284,-1.46,1.28,2.68,106.18,-39.98
0,idle,680481849.0,6.426,7.58,-2.327,-1.1,1.04,2.62,106.19,-39.95
0,idle,680486849.0,6.412,7.609,-2.332,-1.04,0.61,2.5,106.2,-39.93
0,idle,680491849.0,6.426,7.633,-2.351,-0.79,0.24,2.44,106.22,-39.9
0,idle,680496849.0,6.426,7.618,-2.356,-0.73,0.18,2.2,106.23,-39.88
0,idle,680501849.0,6.45,7.661,-2.385,-0.55,-0.18,1.95,106.25,-39.86
0,idle,680506849.0,6.479,7.666,-2.342,-0.43,-0.49,1.52,106.26,-39.85
0,idle,680511849.0,6.46,7.666,-2.365,-0.37,-0.67,1.46,106.28,-39.83
0,idle,680516849.0,6.493,7.676,-2.37,-0.43,-0.67,1.22,106.29,-39.81
0,idle,680521849.0,6.498,7.685,-2.308,-0.49,-0.67,1.22,106.3,-39.8
0,idle,680526849.0,6.488,7.69,-2.361,-0.43,-0.3,1.1,106.31,-39.78
0,idle,680531849.0,6.488,7.666,-2.279,-0.61,-0.3,0.91,106.32,-39.77
0,idle,680536849.0,6.522,7.69,-2.342,-0.49,-0.3,0.49,106.33,-39.76
0,idle,680541849.0,6.498,7.676,-2.389,-0.43,-0.06,0.3,106.34,-39.74
0,idle,680546849.0,6.46,7.652,-2.322,-0.49,-0.18,0.3,106.35,-39.73
0,idle,680551849.0,6.469,7.647,-2.327,-0.55,-0.18,0.06,106.36,-39.71
0,idle,680556849.0,6.445,7.638,-2.298,-0.49,-0.24,0.0,106.37,-39.7
0,idle,680561849.0,6.45,7.623,-2.279,-0.3,-0.24,-0.12,106.37,-39.69
0,idle,680566849.0,6.421,7.642,-2.289,-0.37,-0.3,-0.24,106.37,-39.67
0,idle,680571849.0,6.393,7.638,-2.289,-0.18,-0.43,-0.43,106.38,-39.65
0,idle,680576849.0,6.393,7.594,-2.284,-0.12,-0.18,-0.43,106.39,-39.64
0,idle,680581849.0,6.426,7.57,-2.217,-0.18,-0.18,-0.73,106.38,-39.63
0,idle,680586849.0,6.421,7.599,-2.236,-0.18,-0.3,-0.91,106.38,-39.62
0,idle,680591849.0,6.402,7.575,-2.217,-0.24,-0.37,-0.91,106.38,-39.61
0,idle,680596849.0,6.412,7.566,-2.279,-0.18,-0.24,-1.04,106.39,-39.6
0,idle,680601849.0,6.421,7.547,-2.294,-0.12,-0.18,-1.04,106.4,-39.59
0,idle,680606849.0,6.388,7.527,-2.289,-0.18,0.0,-0.91,106.41,-39.58
0,idle,680611849.0,6.431,7.503,-2.231,-0.3,0.06,-1.04,106.41,-39.58
0,idle,680616849.0,6.388,7.465,-2.255,-0.24,0.12,-1.1,106.41,-39.57
0,idle,680621849.0,6.321,7.499,-2.251,-0.12,0.24,-0.85,106.42,-39.56
0,idle,680626849.0,6.349,7.475,-2.294,-0.12,0.12,-0.79,106.43,-39.55
0,idle,680631849.0,6.292,7.456,-2.322,-0.12,0.0,-0.73,106.45,-39.53
0,idle,680636849.0,6.297,7.46,-2.365,-0.18,-0.24,-0.61,106.47,-39.52
0,idle,680641849.0,6.316,7.479,-2.38,-0.43,-0.24,-0.73,106.49,-39.51
0,idle,680646849.0,6.359,7.465,-2.38,-0.37,-0.37,-0.91,106.51,-39.5
0,idle,680651849.0,6.33,7.46,-2.385,-0.37,-0.37,-0.73,106.54,-39.49
0,idle,680656849.0,6.354,7.46,-2.361,-0.43,-0.37,-0.67,106.56,-39.49
0,idle,680661849.0,6.335,7.432,-2.413,-0.55,-0.37,-0.55,106.58,-39.48
0,idle,680666849.0,6.335,7.436,-2.356,-0.67,-0.18,-0.55,106.6,-39.47
0,idle,680671849.0,6.345,7.412,-2.37,-0.73,-0.3,-0.43,106.62,-39.47
0,idle,680676849.0,6.345,7.365,-2.361,-0.85,-0.37,-0.49,106.64,-39.47
0,idle,680681849.0,6.316,7.365,-2.389,-0.85,-0.37,-0.49,106.66,-39.46
0,idle,680686849.0,6.33,7.35,-2.356,-0.61,-0.18,-0.55,106.68,-39.46
0,idle,680691849.0,6.321,7.355,-2.389,-0.73,-0.12,-0.18,106.7,-39.46
0,idle,680696849.0,6.33,7.412,-2.409,-0.67,-0.18,-0.24,106.72,-39.45
0,idle,680701849.0,6.34,7.398,-2.342,-0.67,-0.12,-0.37,106.74,-39.45
0,idle,680706849.0,6.335,7.417,-2.365,-0.67,0.18,-0.49,106.75,-39.44
0,idle,680711849.0,6.297,7.432,-2.289,-0.61,0.06,-0.43,106.76,-39.43
0,idle,680716849.0,6.292,7.417,-2.342,-0.79,0.0,-0.18,106.77,-39.42
0,idle,680721849.0,6.325,7.451,-2.303,-0.85,-0.12,-0.18,106.77,-39.42
0,idle,680726849.0,6.369,7.47,-2.313,-0.91,-0.24,-0.12,106.78,-39.41
0,idle,680731849.0,6.378,7.451,-2.251,-0.98,-0.43,-0.12,106.77,-39.41
0,idle,680736849.0,6.364,7.489,-2.217,-0.91,-0.37,0.0,106.76,-39.41
0,idle,680741849.0,6.369,7.508,-2.246,-0.98,-0.3,0.12,106.76,-39.41
0,idle,680746849.0,6.393,7.523,-2.231,-0.98,-0.24,0.24,106.75,-39.4
0,idle,680751849.0,6.455,7.513,-2.327,-0.85,-0.12,0.3,106.75,-39.4
0,idle,680756849.0,6.464,7.523,-2.222,-0.91,-0.12,0.37,106.74,-39.4
0,idle,680761849.0,6.474,7.523,-2.279,-0.98,0.0,0.37,106.74,-39.41
0,idle,680766849.0,6.483,7.532,-2.289,-0.79,0.18,0.61,106.74,-39.41
0,idle,680771849.0,6.493,7.547,-2.289,-0.73,0.3,0.49,106.74,-39.41
0,idle,680776849.0,6.498,7.508,-2.313,-0.67,0.79,0.61,106.74,-39.41
0,idle,680781849.0,6.536,7.494,-2.298,-0.61,0.91,0.49,106.74,-39.41
0,idle,680786849.0,6.488,7.513,-2.313,-0.49,1.04,0.55,106.75,-39.41
0,idle,680791849.0,6.503,7.508,-2.332,-0.43,1.52,0.49,106.76,-39.4
0,idle,680796849.0,6.498,7.499,-2.322,-0.55,1.59,0.67,106.76,-39.4
0,idle,680801849.0,6.469,7.494,-2.413,-0.49,1.77,0.49,106.78,-39.39
0,idle,680806849.0,6.44,7.479,-2.38,-0.43,1.71,0.49,106.8,-39.38
0,idle,680811849.0,6.445,7.46,-2.37,-0.43,1.77,0.3,106.81,-39.38
0,idle,680816849.0,6.412,7.489,-2.38,-0.37,1.71,0.24,106.83,-39.36
0,idle,680821849.0,6.412,7.503,-2.375,-0.24,1.46,-0.24,106.84,-39.35
0,idle,680826849.0,6.388,7.523,-2.442,-0.18,1.34,-0.12,106.86,-39.34
0,idle,680831849.0,6.364,7.499,-2.418,-0.24,1.28,-0.12,106.88,-39.32
0,idle,680836849.0,6.354,7.523,-2.476,-0.3,1.1,-0.3,106.91,-39.31
0,idle,680841849.0,6.364,7.527,-2.447,-0.06,1.04,-0.55,106.93,-39.29
0,idle,680846849.0,6.325,7.523,-2.461,-0.18,0.67,-0.61,106.95,-39.27
0,idle,680851849.0,6.311,7.513,-2.375,-0.12,0.49,-0.85,106.96,-39.26
0,idle,680856849.0,6.306,7.527,-2.413,0.0,0.06,-0.79,106.98,-39.25
0,idle,680861849.0,6.282,7.537,-2.356,0.0,0.06,-0.79,106.99,-39.23
0,idle,680866849.0,6.34,7.547,-2.461,0.0,-0.12,-0.61,107.01,-39.22
0,idle,680871849.0,6.306,7.556,-2.428,-0.12,-0.37,-0.49,107.02,-39.21
0,idle,680876849.0,6.311,7.551,-2.409,-0.12,-0.37,-0.61,107.04,-39.19
0,idle,680881849.0,6.33,7.537,-2.418,-0.18,-0.61,-0.79,107.05,-39.19
0,idle,680886849.0,6.321,7.604,-2.423,-0.3,-0.85,-0.67,107.06,-39.17
0,idle,680891849.0,6.349,7.561,-2.375,-0.43,-1.1,-0.73,107.07,-39.17
0,idle,680896849.0,6.354,7.551,-2.37,-0.49,-1.34,-0.61,107.07,-39.17
0,idle,680901849.0,6.345,7.537,-2.361,-0.37,-1.4,-0.67,107.08,-39.17
0,idle,680906849.0,6.349,7.484,-2.365,-0.43,-1.65,-0.67,107.08,-39.17
0,idle,680911849.0,6.364,7.523,-2.37,-0.79,-1.77,-0.73,107.09,-39.18
0,idle,680916849.0,6.421,7.513,-2.346,-0.91,-1.95,-0.79,107.09,-39.19
0,idle,680921849.0,6.45,7.465,-2.361,-0.98,-2.07,-0.91,107.09,-39.2
0,idle,680926849.0,6.445,7.46,-2.327,-0.98,-2.38,-1.1,107.09,-39.22
0,idle,680931849.0,6.455,7.465,-2.351,-0.98,-2.26,-1.1,107.1,-39.24
0,idle,680936849.0,6.421,7.451,-2.385,-1.22,-2.07,-0.98,107.1,-39.25
0,idle,680941849.0,6.455,7.46,-2.327,-1.16,-1.95,-1.1,107.1,-39.27
0,idle,680946849.0,6.464,7.451,-2.361,-0.98,-1.77,-0.98,107.11,-39.28
0,idle,680951849.0,6.455,7.503,-2.332,-1.22,-1.59,-1.1,107.1,-39.29
0,idle,680956849.0,6.45,7.508,-2.308,-1.28,-1.22,-1.1,107.1,-39.3
0,idle,680961849.0,6.402,7.547,-2.346,-1.16,-0.98,-0.79,107.09,-39.3
0,idle,680966849.0,6.369,7.537,-2.294,-1.28,-0.55,-0.73,107.08,-39.29
0,idle,680971849.0,6.359,7.513,-2.327,-1.4,-0.43,-0.67,107.08,-39.29
0,idle,680976849.0,6.354,7.513,-2.274,-1.59,-0.12,-0.67,107.07,-39.28
0,idle,680981849.0,6.316,7.499,-2.332,-1.65,0.12,-0.43,107.06,-39.27
0,idle,680986849.0,6.287,7.499,-2.308,-1.65,-0.12,-0.49,107.06,-39.26
0,idle,680991849.0,6.287,7.494,-2.303,-1.59,0.06,-0.18,107.05,-39.25
0,idle,680996849.0,6.263,7.479,-2.356,-1.59,-0.12,0.12,107.05,-39.24
0,idle,681001849.0,6.244,7.47,-2.361,-1.52,-0.12,0.43,107.05,-39.23
0,idle,681006849.0,6.258,7.412,-2.327,-1.59,-0.18,0.12,107.05,-39.22
0,idle,681011849.0,6.249,7.427,-2.365,-1.46,-0.37,0.18,107.06,-39.21
0,idle,681016849.0,6.263,7.446,-2.337,-1.4,-0.55,0.24,107.06,-39.21
0,idle,681021849.0,6.263,7.441,-2.418,-1.4,-0.49,0.43,107.07,-39.2
0,idle,681026850.0,6.297,7.475,-2.413,-1.52,-0.55,0.3,107.08,-39.19
0,idle,681031850.0,6.306,7.484,-2.428,-1.34,-0.49,0.37,107.09,-39.18
0,idle,681036850.0,6.321,7.46,-2.409,-1.34,-0.61,0.18,107.1,-39.18
0,idle,681041850.0,6.345,7.508,-2.456,-1.46,-0.61,0.24,107.11,-39.17
0,idle,681046850.0,6.335,7.508,-2.423,-1.46,-0.49,0.18,107.12,-39.17
0,idle,681051850.0,6.345,7.527,-2.442,-1.65,-0.43,0.18,107.13,-39.16
0,idle,681056850.0,6.359,7.551,-2.442,-1.59,-0.24,0.24,107.14,-39.15
0,idle,681061850.0,6.321,7.532,-2.399,-1.59,0.0,0.37,107.14,-39.14
0,idle,681066850.0,6.33,7.585,-2.447,-1.52,0.24,0.55,107.15,-39.13
0,idle,681071850.0,6.278,7.585,-2.423,-1.71,0.55,0.61,107.15,-39.11
0,idle,681076850.0,6.287,7.561,-2.399,-1.71,0.91,0.79,107.15,-39.09
0,idle,681081850.0,6.282,7.604,-2.404,-1.65,1.1,1.1,107.15,-39.07
0,idle,681086850.0,6.273,7.594,-2.389,-1.71,1.28,1.16,107.15,-39.04
0,idle,681091850.0,6.273,7.566,-2.418,-1.95,1.34,1.1,107.15,-39.02
0,idle,681096850.0,6.263,7.59,-2.346,-2.07,1.04,0.98,107.14,-39.0
0,idle,681101850.0,6.211,7.556,-2.351,-2.07,0.61,1.04,107.13,-38.98
0,idle,681106850.0,6.215,7.508,-2.375,-2.13,0.3,1.1,107.13,-38.97
0,idle,681111851.0,6.211,7.523,-2.37,-2.07,-0.12,1.22,107.13,-38.95
0,idle,681116851.0,6.258,7.484,-2.389,-2.26,-0.55,1.16,107.13,-38.95
0,idle,681121851.0,6.258,7.489,-2.346,-1.95,-1.04,0.85,107.13,-38.94
0,idle,681126851.0,6.302,7.475,-2.389,-2.13,-1.34,0.49,107.13,-38.95
0,idle,681131851.0,6.335,7.499,-2.356,-1.95,-1.77,0.37,107.12,-38.95
0,idle,681136851.0,6.383,7.537,-2.332,-2.01,-1.89,0.24,107.12,-38.96
0,idle,681141851.0,6.402,7.547,-2.356,-2.32,-2.01,0.24,107.11,-38.97
0,idle,681146851.0,6.412,7.503,-2.428,-2.38,-1.77,0.3,107.11,-38.99
0,idle,681151851.0,6.493,7.542,-2.361,-2.38,-1.28,0.18,107.11,-39.0
0,idle,681156851.0,6.488,7.556,-2.337,-2.26,-0.73,0.12,107.1,-39.01
0,idle,681161851.0,6.483,7.537,-2.298,-2.44,-0.18,0.06,107.08,-39.02
0,idle,681166852.0,6.479,7.537,-2.318,-2.32,0.3,0.24,107.07,-39.03
0,idle,681171852.0,6.436,7.542,-2.356,-2.44,0.73,0.37,107.07,-39.03
0,idle,681176853.0,6.431,7.508,-2.332,-2.38,0.85,0.61,107.06,-39.03
