rep,label,t_us,ax,ay,az,gx,gy,gz,roll,pitch
0,jab,31418064.0,0.599,23.339,-0.474,-69.82,58.29,-49.15,88.47,25.1
0,jab,31423064.0,1.642,25.369,-0.651,-88.17,66.59,-49.27,88.1,24.85
0,jab,31428064.0,2.926,27.524,-0.646,-108.48,76.59,-50.43,87.63,24.61
0,jab,31433064.0,4.453,29.492,-0.211,-131.16,90.0,-55.49,87.05,24.39
0,jab,31438064.0,6.732,31.388,0.752,-152.8,98.66,-64.39,86.33,24.14
0,jab,31443064.0,9.783,33.03,1.882,-172.68,105.24,-73.9,85.49,23.84
0,jab,31448064.0,12.819,33.777,3.352,-191.04,111.83,-81.95,84.53,23.5
0,jab,31453064.0,15.198,33.849,5.042,-206.77,116.59,-92.68,83.46,23.12
0,jab,31458064.0,16.774,33.514,6.804,-219.02,117.74,-110.43,82.29,22.71
0,jab,31463064.0,17.77,32.944,7.834,-226.71,118.23,-134.7,81.06,22.29
0,jab,31468064.0,18.153,31.68,8.519,-228.41,122.13,-161.71,79.82,21.86
0,jab,31473064.0,17.961,29.453,9.122,-224.39,131.52,-191.77,78.58,21.46
0,jab,31478064.0,17.243,26.169,9.936,-217.74,144.15,-224.63,77.33,21.11
0,jab,31483064.0,16.127,22.295,10.625,-212.5,156.52,-261.34,76.03,20.79
0,jab,31488064.0,14.471,18.316,11.028,-209.21,165.67,-302.13,74.66,20.5
0,jab,31493064.0,12.728,14.236,10.381,-204.09,172.99,-344.63,73.25,20.22
0,jab,31498064.0,10.884,10.506,9.38,-192.99,175.18,-383.84,71.8,19.92
0,jab,31503064.0,9.256,7.456,8.025,-169.82,172.62,-409.7,70.39,19.57
0,jab,31508064.0,8.739,4.817,5.981,-132.68,162.62,-416.22,69.11,19.0
0,jab,31513064.0,8.94,2.734,4.061,-84.45,146.46,-406.71,67.99,18.11
0,jab,31518064.0,8.926,0.972,3.108,-30.73,127.87,-381.46,66.83,16.98
0,jab,31523064.0,8.183,-1.144,2.854,24.82,108.05,-343.66,65.18,15.78
0,jab,31528064.0,6.661,-3.955,2.399,80.79,89.33,-303.66,63.1,14.8
0,jab,31533064.0,4.894,-7.81,1.456,136.59,75.12,-272.38,60.91,14.23
0,jab,31538064.0,2.72,-12.895,1.168,194.15,64.21,-256.59,58.95,14.03
0,jab,31543064.0,0.527,-18.919,1.753,252.13,50.3,-258.78,57.31,13.96
0,jab,31548065.0,-1.623,-24.565,3.127,307.26,30.06,-275.06,56.02,13.9
0,jab,31553065.0,-3.136,-29.152,4.482,355.24,3.96,-295.73,55.01,13.77
0,jab,31558065.0,-4.142,-33.016,5.602,391.83,-28.23,-310.98,54.23,13.49
0,jab,31563066.0,-5.65,-36.157,6.656,414.33,-67.99,-315.06,53.58,13.07
0,jab,31568066.0,-7.36,-38.336,7.939,421.4,-116.89,-306.83,53.01,12.45
0,jab,31573066.0,-10.032,-40.591,9.414,413.29,-173.23,-287.99,52.43,11.62
