rep,label,t_us,ax,ay,az,gx,gy,gz,roll,pitch
0,uppercut,591348678.0,-1.599,0.383,-1.101,-64.7,263.9,-47.44,28.67,-1.16
0,uppercut,591353678.0,-1.053,1.279,-0.795,-56.4,261.1,-49.33,30.26,0.85
0,uppercut,591358678.0,-0.781,2.413,-0.527,-45.91,260.0,-49.21,31.48,2.45
0,uppercut,591363678.0,-0.752,3.979,-0.316,-32.62,259.45,-51.16,32.58,3.89
0,uppercut,591368678.0,-0.627,5.684,-0.22,-16.28,264.21,-54.94,33.69,5.23
0,uppercut,591373678.0,0.072,7.154,-0.608,1.1,277.93,-58.17,34.92,6.48
0,uppercut,591378678.0,1.02,8.897,-1.116,15.18,299.15,-63.41,36.24,7.68
0,uppercut,591383679.0,1.786,10.534,-1.413,18.6,316.89,-69.76,37.56,8.89
0,uppercut,591388679.0,2.088,12.33,-1.911,14.51,333.84,-75.91,38.85,10.16
0,uppercut,591393679.0,2.064,13.556,-1.427,7.26,351.4,-85.3,40.03,11.51
0,uppercut,591398679.0,1.523,14.763,-0.22,2.62,361.83,-98.96,41.06,12.93
0,uppercut,591403679.0,0.747,15.816,1.355,1.59,363.17,-112.99,41.95,14.4
0,uppercut,591408679.0,0.215,16.419,3.103,4.15,361.65,-124.76,42.72,15.87
0,uppercut,591413679.0,0.134,16.735,4.386,8.78,359.39,-135.3,43.41,17.3
0,uppercut,591418679.0,2.514,16.328,4.597,15.55,357.38,-151.22,44.11,18.54
0,uppercut,591423679.0,0.144,16.281,5.191,32.62,352.93,-174.39,44.83,19.89
0,uppercut,591428679.0,-2.054,16.917,4.276,50.43,337.07,-180.79,45.7,21.28
0,uppercut,591433679.0,-2.423,20.063,3.558,50.79,326.16,-179.63,46.63,22.59
0,uppercut,591438680.0,-2.854,23.932,3.175,42.56,296.65,-156.46,47.56,23.72
0,uppercut,591443680.0,-2.466,26.873,4.137,29.15,268.9,-122.68,48.37,24.67
0,uppercut,591448680.0,-1.422,28.18,6.373,6.71,246.83,-88.78,48.98,25.44
0,uppercut,591453680.0,0.225,28.161,8.452,-14.27,215.91,-55.06,49.4,25.98
0,uppercut,591458680.0,1.283,28.007,10.913,-25.12,180.24,-20.61,49.66,26.3
0,uppercut,591463680.0,2.131,28.031,13.446,-20.73,153.29,12.74,49.85,26.44
0,uppercut,591468680.0,3.979,27.682,15.577,-0.91,140.12,42.68,50.07,26.46
0,uppercut,591473680.0,6.766,27.026,16.975,28.48,138.9,64.09,50.36,26.37
0,uppercut,591478680.0,9.816,27.021,17.133,57.62,145.3,73.11,50.79,26.21
0,uppercut,591483680.0,11.923,27.936,16.922,72.5,144.63,70.12,51.3,26.0
0,uppercut,591488680.0,15.634,29.894,16.975,76.77,121.95,64.45,51.86,25.59
0,uppercut,591493680.0,18.493,32.006,16.898,86.83,126.1,48.72,52.49,25.15
0,uppercut,591498680.0,20.016,33.035,18.397,91.4,138.41,29.57,53.11,24.77
0,uppercut,591503680.0,20.581,33.126,20.446,95.55,150.3,10.18,53.68,24.45
0,uppercut,591508680.0,20.863,33.145,22.668,115.43,154.39,-5.3,54.29,24.17
0,uppercut,591513680.0,21.102,33.591,23.736,143.6,162.2,-17.62,55.0,23.94
0,uppercut,591518681.0,21.328,34.692,24.186,174.27,162.44,-25.0,55.86,23.72
0,uppercut,591523681.0,21.203,35.97,24.177,200.37,155.12,-25.49,56.84,23.48
0,uppercut,591528681.0,21.342,37.148,22.822,220.67,145.49,-24.21,57.96,23.21
0,uppercut,591533682.0,21.624,38.508,22.395,231.65,139.21,-19.88,59.13,22.91
0,uppercut,591538682.0,21.562,39.777,23.305,235.06,123.35,-15.43,60.29,22.55
0,uppercut,591543682.0,21.284,41.056,24.895,235.85,104.63,-7.07,61.42,22.14
0,uppercut,591548682.0,21.399,41.089,26.499,237.99,88.66,5.43,62.5,21.65
0,uppercut,591553682.0,21.553,39.959,27.974,242.87,75.73,18.05,63.54,21.12
0,uppercut,591558682.0,21.486,38.547,29.348,250.43,60.43,26.95,64.55,20.51
0,uppercut,591563683.0,21.375,37.019,30.579,259.76,41.22,28.9,65.54,19.82
0,uppercut,591568683.0,20.925,35.209,31.532,269.51,21.77,26.77,66.51,19.06
0,uppercut,591573683.0,19.666,33.337,32.221,279.76,7.2,20.37,67.47,18.25
0,uppercut,591578683.0,17.415,31.393,33.198,295.67,-8.41,16.46,68.44,17.43
0,uppercut,591583683.0,14.906,29.477,33.49,315.3,-24.82,16.52,69.44,16.59
0,uppercut,591588683.0,12.455,27.054,33.37,333.66,-56.16,22.56,70.47,15.66
0,uppercut,591593683.0,9.673,23.789,33.16,352.62,-94.09,32.56,71.5,14.62
0,uppercut,591598683.0,6.804,20.14,32.135,374.15,-134.63,44.27,72.55,13.46
0,uppercut,591603683.0,4.894,16.276,29.846,395.18,-169.76,57.32,73.6,12.2
0,uppercut,591608683.0,4.736,12.335,27.184,411.89,-197.62,69.94,74.64,10.8
0,uppercut,591613683.0,5.66,9.012,24.459,421.52,-217.99,81.59,75.61,9.27
0,uppercut,591618683.0,7.12,5.957,21.715,423.66,-234.82,88.41,76.49,7.59
0,uppercut,591623683.0,8.164,4.017,18.186,417.8,-245.49,82.2,77.25,5.76
0,uppercut,591628683.0,9.711,1.695,14.135,404.02,-232.99,85.85,77.82,3.82
0,uppercut,591633683.0,9.74,-0.263,12.799,355.67,-239.51,71.77,77.99,1.82
0,uppercut,591638683.0,9.452,-2.538,10.151,354.21,-225.18,-1.46,77.88,-0.16
0,uppercut,591643683.0,8.724,-3.328,8.389,323.84,-193.41,-62.68,77.48,-1.99
0,uppercut,591648683.0,8.399,-6.182,8.882,267.74,-158.9,-93.29,76.54,-3.48
0,uppercut,591653683.0,6.057,-8.921,9.165,244.39,-112.99,-113.23,75.33,-4.47
0,uppercut,591658683.0,1.935,-12.364,9.898,259.94,-44.15,-117.13,74.07,-4.74
0,uppercut,591663683.0,-2.049,-15.663,10.937,278.6,4.15,-126.46,72.85,-4.5
0,uppercut,591668683.0,-6.46,-16.266,7.815,269.82,46.89,-147.13,71.43,-3.79
0,uppercut,591673683.0,-10.218,-16.486,5.559,236.83,72.13,-160.43,69.73,-2.75
0,uppercut,591678683.0,-12.977,-17.487,3.601,199.88,94.88,-155.61,67.75,-1.51
0,uppercut,591683683.0,-14.585,-18.095,2.897,159.82,103.17,-132.5,65.56,-0.2
0,uppercut,591688683.0,-13.963,-18.541,2.294,116.83,92.07,-103.66,63.16,0.99
0,uppercut,591693683.0,-11.674,-18.301,2.792,66.34,56.4,-79.39,60.6,1.89
0,uppercut,591698683.0,-8.241,-17.545,4.798,24.02,14.09,-63.41,58.01,2.41
0,uppercut,591703683.0,-6.191,-16.357,6.201,-18.05,-13.78,-63.48,55.37,2.68
0,uppercut,591708683.0,-4.487,-15.38,6.843,-53.66,-27.62,-71.71,52.68,2.79
0,uppercut,591713683.0,-3.443,-15.371,8.164,-77.93,-17.38,-74.45,50.01,2.87
0,uppercut,591723683.0,-3.519,-15.313,12.517,-89.63,-20.98,-78.41,45.07,2.98
0,uppercut,591728683.0,-4.223,-14.763,14.025,-87.99,-28.96,-77.56,42.81,3.01
0,uppercut,591733683.0,-4.942,-13.8,14.576,-74.57,-39.02,-64.39,40.71,3.04
0,uppercut,591738683.0,-5.315,-12.613,14.269,-54.7,-41.4,-40.06,38.8,3.09
0,uppercut,591743683.0,-5.119,-11.712,13.063,-34.09,-44.82,-13.29,37.02,3.13
0,uppercut,591748683.0,-5.234,-10.745,11.143,-15.06,-48.54,8.54,35.33,3.2
0,uppercut,591753683.0,-5.066,-9.601,9.151,-0.98,-49.21,24.82,33.69,3.32
0,uppercut,591758683.0,-4.721,-8.586,7.326,9.21,-45.37,37.26,32.07,3.48
0,uppercut,591763683.0,-4.511,-7.633,5.44,14.57,-43.84,45.12,30.41,3.71
0,uppercut,591768683.0,-4.017,-6.574,3.361,12.5,-41.16,47.62,28.61,4.01
0,uppercut,591773683.0,-3.438,-5.679,1.46,4.7,-32.5,47.56,26.54,4.37
0,uppercut,591778683.0,-2.974,-4.908,0.043,-8.54,-23.72,46.89,24.18,4.8
0,uppercut,591783683.0,-2.782,-4.353,-0.168,-22.56,-18.96,49.02,21.74,5.26
0,uppercut,591788683.0,-2.37,-3.855,0.172,-35.3,-15.79,53.96,19.39,5.71
0,uppercut,591793683.0,-1.767,-3.491,0.967,-47.62,-17.5,59.27,17.28,6.03
0,uppercut,591798683.0,-0.795,-3.491,1.623,-59.02,-22.99,66.34,15.34,6.03
0,uppercut,591803683.0,0.215,-3.548,2.466,-67.32,-25.67,75.12,13.6,5.72
0,uppercut,591808684.0,1.044,-3.697,3.5,-72.44,-29.82,81.22,12.04,5.23
0,uppercut,591813684.0,1.614,-3.922,4.372,-72.8,-37.2,83.96,10.61,4.64
0,uppercut,591818684.0,2.088,-3.931,4.697,-67.01,-43.23,83.84,9.27,3.96
0,uppercut,591823685.0,2.418,-3.845,4.712,-56.77,-45.85,83.54,8.02,3.22
0,uppercut,591828686.0,2.796,-3.572,4.463,-42.8,-46.28,83.29,6.87,2.41
0,uppercut,591833686.0,3.227,-3.021,3.836,-28.6,-45.67,82.68,5.83,1.46
0,uppercut,591838686.0,3.716,-2.116,3.05,-17.56,-43.54,79.27,4.93,0.32
0,uppercut,591843686.0,4.171,-1.135,2.265,-10.18,-40.49,72.07,4.25,-1.06
0,uppercut,591848686.0,4.501,-0.11,1.341,-6.65,-32.93,61.59,4.04,-2.67
0,uppercut,591853686.0,4.535,0.867,0.685,-6.83,-20.67,50.3,4.96,-4.24
0,uppercut,591858686.0,4.243,1.786,0.22,-10.73,-7.93,40.55,6.47,-5.53
0,uppercut,591863686.0,3.519,2.753,0.101,-17.68,2.38,33.23,8.01,-6.45
0,uppercut,591868686.0,2.768,3.826,0.153,-26.22,10.18,28.17,9.48,-6.99
0,uppercut,591873686.0,2.313,4.635,0.383,-37.13,17.8,26.59,10.81,-7.29
0,uppercut,591878686.0,2.083,5.229,1.063,-50.24,22.93,28.29,11.92,-7.46
0,uppercut,591883686.0,2.006,5.559,1.872,-63.6,22.32,32.5,12.8,-7.58
0,uppercut,591888686.0,1.853,5.698,2.643,-76.34,20.06,39.45,13.47,-7.66
0,uppercut,591893686.0,1.896,5.636,3.055,-87.5,18.9,49.45,14.0,-7.74
0,uppercut,591898686.0,2.557,5.128,3.625,-99.76,17.56,61.59,14.33,-7.94
0,uppercut,591903686.0,3.304,4.626,4.104,-107.8,12.74,68.96,14.48,-8.28
0,uppercut,591908686.0,3.931,4.199,4.266,-114.39,4.02,74.02,14.52,-8.76
0,uppercut,591913686.0,4.482,3.946,4.501,-120.06,-4.02,75.91,14.47,-9.35
0,uppercut,591918686.0,4.942,3.735,4.798,-123.72,-7.74,74.57,14.33,-9.98
0,uppercut,591923687.0,5.425,3.673,4.918,-124.51,-8.05,68.35,14.17,-10.65
0,uppercut,591928687.0,5.516,4.166,5.052,-120.37,-4.02,58.23,14.09,-11.26
0,uppercut,591933687.0,5.262,4.851,5.282,-107.32,3.29,46.77,14.13,-11.74
0,uppercut,591938687.0,4.745,5.684,5.54,-84.21,14.15,35.85,14.35,-12.05
0,uppercut,591943687.0,3.859,6.847,5.387,-57.56,27.01,30.12,14.82,-12.16
1,uppercut,595988721.0,-0.766,11.688,5.339,70.85,164.33,-89.7,26.87,19.93
1,uppercut,595993721.0,1.652,13.987,3.807,38.05,150.85,-77.38,28.02,20.14
1,uppercut,595998721.0,4.63,15.974,3.328,2.13,157.07,-69.51,29.03,20.19
1,uppercut,596003721.0,6.761,16.927,5.138,-29.57,176.89,-72.44,29.77,20.23
1,uppercut,596008721.0,7.159,16.621,9.002,-48.41,198.41,-84.82,30.17,20.38
1,uppercut,596013721.0,5.995,15.414,13.35,-47.62,210.24,-99.09,30.31,20.68
1,uppercut,596018721.0,4.295,14.514,16.774,-30.0,208.72,-106.34,30.38,21.07
1,uppercut,596023721.0,2.385,14.902,18.809,-2.2,193.54,-101.71,30.53,21.48
1,uppercut,596028721.0,0.843,16.146,19.201,27.2,169.09,-81.22,30.85,21.84
1,uppercut,596033722.0,0.268,17.114,18.502,55.3,141.4,-47.56,31.36,22.09
1,uppercut,596038722.0,0.733,18.215,16.558,74.63,116.71,-10.85,32.05,22.18
1,uppercut,596043722.0,2.342,19.465,14.049,78.48,97.01,25.85,32.88,22.1
1,uppercut,596048722.0,5.334,21.16,12.143,67.32,79.88,60.18,33.75,21.81
1,uppercut,596053722.0,9.409,22.812,11.904,41.16,68.66,81.77,34.53,21.3
1,uppercut,596058722.0,14.15,24.646,13.412,5.79,55.55,85.12,35.1,20.62
1,uppercut,596063722.0,18.383,26.499,16.932,-28.72,42.2,73.84,35.4,19.8
1,uppercut,596068722.0,21.529,27.251,21.735,-52.87,26.52,55.55,35.46,18.9
1,uppercut,596073722.0,23.339,27.141,26.901,-57.56,11.4,28.96,35.38,17.95
1,uppercut,596078722.0,23.841,26.949,31.508,-41.28,-5.43,-1.71,35.28,16.97
1,uppercut,596083722.0,23.99,26.892,34.132,-7.13,-21.83,-30.49,35.3,15.94
1,uppercut,596088722.0,23.908,26.829,34.333,42.93,-27.44,-54.94,35.57,14.92
1,uppercut,596093722.0,23.458,27.217,32.576,96.52,-25.49,-78.35,36.13,13.91
1,uppercut,596098722.0,22.415,28.256,29.726,146.22,-19.63,-103.17,36.99,12.97
1,uppercut,596103722.0,21.471,29.616,26.633,188.23,-12.99,-125.12,38.13,12.08
1,uppercut,596108722.0,20.667,30.387,24.751,221.22,-10.49,-137.68,39.47,11.23
1,uppercut,596113722.0,19.901,30.411,23.679,247.93,-14.45,-141.52,40.94,10.39
1,uppercut,596118722.0,19.23,30.253,23.142,268.84,-24.27,-144.33,42.49,9.52
1,uppercut,596123722.0,18.852,30.928,22.391,286.77,-35.98,-150.49,44.13,8.63
1,uppercut,596128722.0,18.488,32.025,21.998,303.11,-45.37,-155.12,45.84,7.73
1,uppercut,596133722.0,17.617,32.327,21.749,317.74,-55.18,-156.77,47.6,6.82
