rep,label,t_us,ax,ay,az,gx,gy,gz,roll,pitch
0,hook,316459031.0,8.294,13.187,-3.041,10.3,73.66,2.62,131.12,-32.96
0,hook,316464031.0,8.217,15.514,-2.308,10.24,86.1,-0.73,130.52,-32.43
0,hook,316469031.0,7.901,18.526,-1.513,10.12,97.93,-5.37,129.85,-31.76
0,hook,316474031.0,7.245,22.381,-0.9,8.41,107.07,-11.1,129.14,-30.96
0,hook,316479031.0,6.292,26.7,-0.067,5.79,112.07,-17.44,128.39,-30.06
0,hook,316484031.0,5.09,31.369,0.977,3.41,113.96,-24.51,127.61,-29.08
0,hook,316489031.0,3.85,35.966,2.126,0.0,112.2,-32.99,126.79,-28.07
0,hook,316494031.0,2.614,39.758,3.256,-3.72,103.35,-43.54,125.94,-27.08
0,hook,316499031.0,1.523,41.788,3.95,-9.21,87.13,-55.79,125.07,-26.15
0,hook,316504031.0,0.527,40.548,4.348,-20.61,58.9,-73.96,124.14,-25.36
0,hook,316509031.0,0.048,37.321,4.295,-31.89,30.73,-93.54,123.17,-24.7
0,hook,316514031.0,-0.268,33.136,3.994,-37.68,2.26,-119.82,122.19,-24.19
0,hook,316519031.0,-1.743,31.077,3.673,-32.07,-23.23,-151.83,121.25,-23.75
0,hook,316524031.0,-3.63,30.023,2.911,-23.84,-52.93,-172.07,120.4,-23.4
0,hook,316529031.0,-5.775,29.497,1.642,-14.21,-77.26,-182.2,119.66,-23.09
0,hook,316534031.0,-8.571,29.324,1.571,-4.02,-87.8,-187.62,118.98,-22.73
0,hook,316539031.0,-12.028,29.904,2.998,9.51,-89.09,-189.21,118.33,-22.28
0,hook,316544031.0,-16.118,31.91,5.224,30.55,-86.46,-186.83,117.73,-21.73
0,hook,316549031.0,-19.704,35.065,6.675,58.05,-85.0,-183.05,117.25,-21.13
0,hook,316554031.0,-21.902,36.995,7.183,71.95,-89.09,-186.71,116.83,-20.54
0,hook,316559031.0,-22.802,36.631,7.125,70.37,-101.52,-200.24,116.42,-20.0
0,hook,316564031.0,-22.956,35.113,6.124,54.94,-120.43,-223.17,115.96,-19.53
0,hook,316569031.0,-22.151,33.878,3.433,32.01,-143.05,-245.85,115.49,-19.18
0,hook,316574031.0,-20.035,32.259,-0.062,9.45,-164.76,-258.11,115.03,-18.97
0,hook,316579031.0,-16.841,29.813,-3.874,2.56,-185.73,-247.93,114.69,-18.92
0,hook,316584031.0,-12.905,26.226,-7.614,13.41,-201.65,-211.89,114.58,-19.02
0,hook,316589031.0,-8.787,22.453,-10.319,35.43,-204.33,-157.56,114.76,-19.25
0,hook,316594031.0,-5.464,19.111,-10.285,60.98,-192.74,-95.24,115.13,-19.53
0,hook,316599031.0,-2.772,16.601,-8.356,76.1,-176.46,-32.8,115.53,-19.83
0,hook,316604031.0,0.522,12.752,-7.082,90.73,-166.04,33.23,116.05,-20.29
0,hook,316609031.0,5.1,9.543,-5.411,118.23,-148.48,103.11,116.7,-21.11
0,hook,316614031.0,8.758,8.045,-3.448,142.32,-101.65,167.13,117.32,-22.08
0,hook,316619031.0,10.515,7.077,-1.757,160.79,-27.68,217.99,117.84,-22.88
0,hook,316624031.0,9.907,5.837,-1.111,176.77,55.49,255.98,118.37,-23.34
0,hook,316629031.0,6.852,3.591,-0.603,194.88,127.5,294.33,118.95,-23.48
0,hook,316634031.0,2.289,-0.144,0.354,223.23,180.91,345.91,117.22,-23.74
0,hook,316639031.0,-2.648,-6.675,2.14,258.9,214.33,414.27,114.7,-21.8
0,hook,316644031.0,-6.024,-15.577,4.678,305.61,235.85,492.01,112.44,-19.8
0,hook,316649031.0,-7.503,-27.912,7.618,358.11,247.2,563.23,110.45,-17.9
