rep,label,t_us,ax,ay,az,gx,gy,gz,roll,pitch
0,block,559091008.0,0.656,10.008,-1.417,-0.85,2.38,1.59,98.02,-3.93
0,block,559096008.0,0.67,10.017,-1.379,-1.1,1.65,1.52,98.01,-3.92
0,block,559101008.0,0.666,9.998,-1.389,-1.16,0.73,1.46,98.0,-3.91
0,block,559106008.0,0.69,10.017,-1.379,-1.22,-0.3,1.46,97.99,-3.91
0,block,559111008.0,0.694,10.003,-1.336,-1.28,-0.91,1.59,97.98,-3.92
0,block,559116008.0,0.713,10.017,-1.341,-1.34,-1.52,1.52,97.96,-3.93
0,block,559121008.0,0.742,10.041,-1.326,-1.65,-1.95,1.89,97.95,-3.94
0,block,559126008.0,0.79,10.003,-1.389,-1.4,-1.83,2.26,97.94,-3.96
0,block,559131008.0,0.848,10.003,-1.437,-1.46,-1.77,2.2,97.94,-3.99
0,block,559136008.0,0.915,9.993,-1.441,-1.59,-1.4,2.26,97.93,-4.02
0,block,559141008.0,0.962,9.96,-1.465,-1.83,-0.91,1.71,97.93,-4.05
0,block,559146008.0,0.953,9.931,-1.456,-1.71,-0.79,1.59,97.93,-4.08
0,block,559151008.0,0.953,9.955,-1.46,-1.77,-0.43,1.59,97.93,-4.11
0,block,559156008.0,0.91,9.95,-1.437,-1.71,-0.12,1.46,97.93,-4.13
0,block,559161008.0,0.934,9.96,-1.518,-1.83,0.24,1.65,97.94,-4.16
0,block,559166008.0,0.924,9.95,-1.561,-2.01,0.55,1.4,97.94,-4.17
0,block,559171008.0,0.943,9.965,-1.513,-1.95,0.79,0.85,97.95,-4.19
0,block,559176008.0,0.924,9.984,-1.513,-2.01,0.91,0.3,97.95,-4.21
0,block,559181008.0,0.886,10.017,-1.542,-1.95,0.61,0.3,97.96,-4.22
0,block,559186008.0,0.867,9.984,-1.523,-1.89,0.61,0.12,97.96,-4.23
0,block,559191008.0,0.881,9.96,-1.417,-1.77,0.43,0.3,97.96,-4.25
0,block,559196008.0,0.891,9.969,-1.46,-1.71,0.61,0.3,97.96,-4.26
0,block,559201008.0,0.9,9.969,-1.451,-1.65,0.67,0.06,97.96,-4.27
0,block,559206008.0,0.891,9.993,-1.441,-1.59,0.79,-0.18,97.95,-4.29
0,block,559211008.0,0.886,9.989,-1.465,-1.83,0.91,-0.3,97.95,-4.3
0,block,559216008.0,0.895,9.979,-1.456,-2.13,0.91,-0.18,97.95,-4.31
0,block,559221008.0,0.891,9.96,-1.508,-2.32,1.04,-0.18,97.95,-4.32
0,block,559226008.0,0.934,9.931,-1.547,-2.2,1.1,-0.18,97.96,-4.33
0,block,559231008.0,0.857,9.888,-1.561,-2.07,1.22,0.0,97.97,-4.34
0,block,559236008.0,0.871,9.888,-1.561,-2.01,1.59,0.06,97.98,-4.34
0,block,559241008.0,0.785,9.898,-1.561,-1.89,1.71,0.12,97.99,-4.34
0,block,559246008.0,0.761,9.874,-1.528,-1.65,2.01,0.24,98.0,-4.33
0,block,559251008.0,0.723,9.869,-1.513,-1.77,2.01,0.18,98.0,-4.31
0,block,559256008.0,0.694,9.835,-1.484,-2.07,1.59,0.18,98.0,-4.3
0,block,559261008.0,0.67,9.859,-1.542,-2.44,0.55,0.18,98.01,-4.29
0,block,559266008.0,0.637,9.864,-1.504,-2.74,-0.24,0.43,98.01,-4.28
0,block,559271008.0,0.646,9.869,-1.556,-3.05,-0.91,0.49,98.01,-4.27
0,block,559276008.0,0.656,9.826,-1.494,-3.29,-1.65,0.85,98.01,-4.27
0,block,559281008.0,0.656,9.816,-1.542,-3.6,-2.5,0.85,98.01,-4.27
0,block,559286008.0,0.627,9.845,-1.542,-3.72,-3.17,0.98,98.01,-4.27
0,block,559291008.0,0.642,9.84,-1.566,-3.96,-3.66,1.22,98.01,-4.28
0,block,559296008.0,0.67,9.85,-1.551,-4.39,-4.21,1.34,98.01,-4.29
0,block,559301008.0,0.713,9.859,-1.551,-4.63,-4.76,1.65,98.0,-4.31
0,block,559306008.0,0.776,9.816,-1.547,-5.0,-4.82,1.89,98.0,-4.34
0,block,559311008.0,0.814,9.778,-1.456,-5.3,-4.94,2.13,97.98,-4.37
0,block,559316008.0,0.881,9.778,-1.427,-5.49,-4.7,2.5,97.96,-4.4
0,block,559321008.0,0.948,9.764,-1.489,-5.79,-3.96,2.44,97.95,-4.45
0,block,559326008.0,1.001,9.787,-1.422,-6.04,-3.48,2.32,97.92,-4.49
0,block,559331008.0,1.015,9.816,-1.427,-6.46,-2.56,2.44,97.9,-4.53
0,block,559336008.0,1.015,9.797,-1.422,-6.71,-1.89,2.44,97.87,-4.56
0,block,559341008.0,1.025,9.797,-1.379,-6.71,-1.04,2.38,97.84,-4.6
0,block,559346008.0,1.044,9.85,-1.441,-6.65,-0.37,2.26,97.82,-4.63
0,block,559351008.0,1.049,9.831,-1.374,-6.52,0.43,2.26,97.79,-4.65
0,block,559356008.0,1.058,9.84,-1.35,-6.28,1.22,2.26,97.76,-4.67
0,block,559361008.0,1.068,9.845,-1.408,-6.16,2.26,2.32,97.74,-4.69
0,block,559366008.0,1.082,9.831,-1.365,-5.79,2.87,2.44,97.71,-4.71
0,block,559371008.0,1.073,9.835,-1.374,-5.85,3.23,2.32,97.69,-4.72
0,block,559376008.0,1.073,9.802,-1.374,-5.73,3.6,2.2,97.67,-4.73
0,block,559381008.0,1.044,9.778,-1.326,-5.24,3.9,2.26,97.64,-4.74
0,block,559386008.0,1.034,9.72,-1.307,-4.7,4.09,2.01,97.62,-4.75
0,block,559391008.0,1.001,9.725,-1.312,-4.09,4.27,1.95,97.6,-4.75
0,block,559396008.0,0.996,9.735,-1.35,-3.41,4.21,1.83,97.59,-4.75
0,block,559401008.0,0.977,9.764,-1.279,-2.99,4.21,1.77,97.57,-4.75
0,block,559406008.0,0.9,9.811,-1.312,-2.26,4.02,1.52,97.56,-4.73
0,block,559411008.0,0.867,9.84,-1.231,-1.89,3.72,1.59,97.55,-4.72
0,block,559416008.0,0.838,9.869,-1.211,-1.59,3.05,1.16,97.53,-4.71
0,block,559421008.0,0.804,9.917,-1.188,-1.28,2.32,1.22,97.51,-4.7
0,block,559426008.0,0.8,9.864,-1.168,-0.91,1.4,1.16,97.49,-4.69
