rep,label,t_us,ax,ay,az,gx,gy,gz,roll,pitch
0,uppercut,46123344.0,5.023,7.609,-3.802,1.77,26.95,3.72,119.32,-26.94
0,uppercut,88872643.0,-0.474,0.881,9.96,3.48,-0.73,-1.28,5.71,2.41
0,uppercut,88882644.0,-0.474,0.91,9.979,3.29,-0.67,-1.28,5.73,2.41
0,uppercut,88887644.0,-0.426,0.905,9.912,3.35,-0.67,-1.04,5.73,2.41
0,uppercut,46143347.0,4.951,7.877,-3.831,4.51,24.63,3.6,119.14,-26.68
0,uppercut,88892644.0,-0.445,0.915,9.941,3.41,-0.67,-1.16,5.74,2.41
0,uppercut,46148408.0,4.918,7.958,-3.869,4.7,23.05,3.6,119.1,-26.61
0,uppercut,46153408.0,4.956,8.016,-3.898,4.7,20.85,3.84,119.06,-26.56
0,uppercut,46158410.0,5.042,8.021,-3.903,4.45,17.68,4.15,119.02,-26.53
0,uppercut,46163410.0,5.176,7.977,-3.859,4.09,13.96,4.51,118.98,-26.54
0,uppercut,46168412.0,5.325,7.958,-3.903,3.96,10.3,4.7,118.94,-26.58
0,uppercut,46173414.0,5.488,7.958,-3.955,3.84,6.22,4.27,118.91,-26.65
0,uppercut,88897644.0,-0.426,0.924,9.95,3.48,-0.61,-1.1,5.75,2.4
0,uppercut,46178415.0,5.674,7.982,-4.013,3.54,2.74,3.6,118.88,-26.75
0,uppercut,88902646.0,-0.431,0.924,9.926,3.41,-0.67,-1.1,5.76,2.4
0,uppercut,46183415.0,5.832,7.997,-4.027,3.05,-0.24,2.26,118.85,-26.88
0,uppercut,88907646.0,-0.431,0.929,9.955,3.48,-0.67,-1.1,5.76,2.4
0,uppercut,88912646.0,-0.455,0.924,9.922,3.35,-0.61,-1.1,5.77,2.4
0,uppercut,46198416.0,6.086,7.944,-3.989,0.85,-1.89,-1.65,118.76,-27.32
0,uppercut,46203417.0,6.115,7.877,-3.917,0.61,-0.24,-3.05,118.72,-27.47
0,uppercut,88917647.0,-0.421,0.905,10.017,3.41,-0.73,-1.1,5.78,2.4
0,uppercut,88937654.0,-0.508,0.838,9.993,3.35,-0.55,-1.1,5.78,2.41
0,uppercut,46213801.0,6.057,7.839,-3.812,0.55,4.7,-5.06,118.62,-27.73
0,uppercut,88987663.0,-0.393,0.809,9.878,3.35,-0.73,-1.16,5.72,2.42
0,uppercut,46218801.0,6.024,7.786,-3.764,0.98,7.62,-5.49,118.57,-27.83
0,uppercut,88992663.0,-0.417,0.824,9.989,3.35,-0.73,-1.04,5.72,2.41
0,uppercut,88997665.0,-0.369,0.828,9.974,3.41,-0.61,-1.04,5.72,2.4
0,uppercut,89002666.0,-0.373,0.843,9.96,3.41,-0.61,-1.16,5.72,2.4
0,uppercut,89007668.0,-0.402,0.833,9.979,3.41,-0.67,-1.16,5.71,2.39
0,uppercut,89012670.0,-0.364,0.848,9.989,3.35,-0.79,-1.04,5.71,2.38
0,uppercut,46228805.0,5.895,7.638,-3.658,2.32,13.23,-6.22,118.47,-28.0
0,uppercut,89017670.0,-0.412,0.838,10.008,3.29,-0.67,-1.34,5.71,2.38
0,uppercut,89022839.0,-0.426,0.862,9.941,3.23,-0.67,-1.16,5.71,2.37
0,uppercut,89027841.0,-0.441,0.824,9.946,3.35,-0.67,-1.1,5.71,2.37
0,uppercut,89032842.0,-0.445,0.828,9.922,3.35,-0.73,-0.98,5.71,2.37
0,uppercut,89037842.0,-0.469,0.833,9.955,3.35,-0.73,-1.1,5.7,2.38
0,uppercut,89042843.0,-0.474,0.838,9.955,3.35,-0.61,-1.22,5.7,2.38
0,uppercut,89047843.0,-0.479,0.828,9.955,3.29,-0.67,-1.16,5.7,2.38
0,uppercut,89052844.0,-0.503,0.828,9.946,3.29,-0.55,-1.22,5.7,2.39
0,uppercut,89057845.0,-0.508,0.819,9.931,3.29,-0.67,-1.22,5.69,2.4
0,uppercut,89062846.0,-0.517,0.838,9.965,3.41,-0.67,-1.16,5.69,2.41
0,uppercut,46243809.0,5.559,7.681,-3.673,5.37,17.38,-8.6,118.36,-28.1
0,uppercut,89067846.0,-0.503,0.857,9.936,3.48,-0.55,-1.16,5.7,2.41
0,uppercut,89077848.0,-0.488,0.862,9.931,3.41,-0.67,-1.1,5.7,2.42
0,uppercut,46273815.0,4.769,7.427,-3.606,6.52,11.83,-11.34,118.23,-28.02
0,uppercut,46278817.0,4.712,7.408,-3.558,6.89,10.37,-10.85,118.21,-28.0
0,uppercut,46283817.0,4.654,7.312,-3.534,7.5,9.33,-10.12,118.2,-27.99
0,uppercut,46288817.0,4.63,7.293,-3.505,8.48,8.23,-9.39,118.19,-27.99
